iteration,m_power,recursion
128,[[1 1 0 1]],[[1 1 0 1]]
129,[[0 1 1 0]],[[0 1 1 0]]
130,[[0 0 1 1]],[[0 0 1 1]]
131,[[1 0 0 1]],[[1 0 0 1]]
132,[[0 1 0 0]],[[0 1 0 0]]
133,[[0 0 1 0]],[[0 0 1 0]]
134,[[0 0 0 1]],[[0 0 0 1]]
135,[[1 0 0 0]],[[1 0 0 0]]
136,[[1 1 0 0]],[[1 1 0 0]]
137,[[1 1 1 0]],[[1 1 1 0]]
138,[[1 1 1 1]],[[1 1 1 1]]
139,[[0 1 1 1]],[[0 1 1 1]]
140,[[1 0 1 1]],[[1 0 1 1]]
141,[[0 1 0 1]],[[0 1 0 1]]
142,[[1 0 1 0]],[[1 0 1 0]]
143,[[1 1 0 1]],[[1 1 0 1]]
144,[[0 1 1 0]],[[0 1 1 0]]
145,[[0 0 1 1]],[[0 0 1 1]]
146,[[1 0 0 1]],[[1 0 0 1]]
147,[[0 1 0 0]],[[0 1 0 0]]
148,[[0 0 1 0]],[[0 0 1 0]]
149,[[0 0 0 1]],[[0 0 0 1]]
150,[[1 0 0 0]],[[1 0 0 0]]
151,[[1 1 0 0]],[[1 1 0 0]]
152,[[1 1 1 0]],[[1 1 1 0]]
153,[[1 1 1 1]],[[1 1 1 1]]
154,[[0 1 1 1]],[[0 1 1 1]]
155,[[1 0 1 1]],[[1 0 1 1]]
156,[[0 1 0 1]],[[0 1 0 1]]
157,[[1 0 1 0]],[[1 0 1 0]]
158,[[1 1 0 1]],[[1 1 0 1]]
159,[[0 1 1 0]],[[0 1 1 0]]
160,[[0 0 1 1]],[[0 0 1 1]]
161,[[1 0 0 1]],[[1 0 0 1]]
162,[[0 1 0 0]],[[0 1 0 0]]
163,[[0 0 1 0]],[[0 0 1 0]]
164,[[0 0 0 1]],[[0 0 0 1]]
165,[[1 0 0 0]],[[1 0 0 0]]
166,[[1 1 0 0]],[[1 1 0 0]]
167,[[1 1 1 0]],[[1 1 1 0]]
168,[[1 1 1 1]],[[1 1 1 1]]
169,[[0 1 1 1]],[[0 1 1 1]]
170,[[1 0 1 1]],[[1 0 1 1]]
171,[[0 1 0 1]],[[0 1 0 1]]
172,[[1 0 1 0]],[[1 0 1 0]]
173,[[1 1 0 1]],[[1 1 0 1]]
174,[[0 1 1 0]],[[0 1 1 0]]
175,[[0 0 1 1]],[[0 0 1 1]]
176,[[1 0 0 1]],[[1 0 0 1]]
177,[[0 1 0 0]],[[0 1 0 0]]
178,[[0 0 1 0]],[[0 0 1 0]]
179,[[0 0 0 1]],[[0 0 0 1]]
180,[[1 0 0 0]],[[1 0 0 0]]
181,[[1 1 0 0]],[[1 1 0 0]]
182,[[1 1 1 0]],[[1 1 1 0]]
183,[[1 1 1 1]],[[1 1 1 1]]
184,[[0 1 1 1]],[[0 1 1 1]]
185,[[1 0 1 1]],[[1 0 1 1]]
186,[[0 1 0 1]],[[0 1 0 1]]
187,[[1 0 1 0]],[[1 0 1 0]]
188,[[1 1 0 1]],[[1 1 0 1]]
189,[[0 1 1 0]],[[0 1 1 0]]
