iteration,ssrg_state
1,[[0 1 0 0 0]]
2,[[0 0 1 0 0]]
3,[[1 0 0 1 0]]
4,[[1 1 0 0 1]]
5,[[1 1 1 0 0]]
6,[[1 1 1 1 0]]
7,[[0 1 1 1 1]]
8,[[1 0 1 1 1]]
9,[[1 1 0 1 1]]
10,[[0 1 1 0 1]]
11,[[0 0 1 1 0]]
12,[[0 0 0 1 1]]
13,[[0 0 0 0 1]]
14,[[1 0 0 0 0]]
15,[[0 1 0 0 0]]
16,[[0 0 1 0 0]]
17,[[1 0 0 1 0]]
18,[[1 1 0 0 1]]
19,[[1 1 1 0 0]]
20,[[1 1 1 1 0]]
21,[[0 1 1 1 1]]
22,[[1 0 1 1 1]]
23,[[1 1 0 1 1]]
24,[[0 1 1 0 1]]
25,[[0 0 1 1 0]]
26,[[0 0 0 1 1]]
27,[[0 0 0 0 1]]
28,[[1 0 0 0 0]]
29,[[0 1 0 0 0]]
30,[[0 0 1 0 0]]
31,[[1 0 0 1 0]]
32,[[1 1 0 0 1]]
33,[[1 1 1 0 0]]
34,[[1 1 1 1 0]]
35,[[0 1 1 1 1]]
36,[[1 0 1 1 1]]
37,[[1 1 0 1 1]]
38,[[0 1 1 0 1]]
39,[[0 0 1 1 0]]
40,[[0 0 0 1 1]]
41,[[0 0 0 0 1]]
42,[[1 0 0 0 0]]
43,[[0 1 0 0 0]]
44,[[0 0 1 0 0]]
45,[[1 0 0 1 0]]
46,[[1 1 0 0 1]]
47,[[1 1 1 0 0]]
48,[[1 1 1 1 0]]
49,[[0 1 1 1 1]]
50,[[1 0 1 1 1]]
51,[[1 1 0 1 1]]
52,[[0 1 1 0 1]]
53,[[0 0 1 1 0]]
54,[[0 0 0 1 1]]
55,[[0 0 0 0 1]]
56,[[1 0 0 0 0]]
57,[[0 1 0 0 0]]
58,[[0 0 1 0 0]]
59,[[1 0 0 1 0]]
60,[[1 1 0 0 1]]
61,[[1 1 1 0 0]]
